id;tag_title;tag_desc;tag_created_by_id;tag_created_by_name;tag_created_date;tag_modified_date
1;Branding back-end circuit;project Diverse Car;53032;Afghanistan;2021-11-15T19:02:14;2021-11-16T10:45:25
2;Vermont Small Keyboard;Soap;26806;open Frozen AGP;2021-11-15T20:17:18;2021-11-16T03:08:14
3;infomediaries payment;Producer iterate;16381;synergistic Buckinghamshire Mali;2021-11-15T16:52:03;2021-11-16T05:25:10
4;grey circuit Faso;Hawaii reboot;28758;orchestrate transmitting digital;2021-11-16T10:37:42;2021-11-15T21:44:45
5;Facilitator;West Cambridgeshire firewall;98511;out-of-the-box Timor-Leste;2021-11-16T10:43:13;2021-11-16T05:33:02
6;SQL Refined;Sports Mobility;25025;recontextualize bypassing Lilangeni;2021-11-16T14:48:47;2021-11-15T16:49:31
7;Stand-alone;Awesome scale Forint;86777;Central Tactics Liaison;2021-11-15T16:05:59;2021-11-16T03:34:59
8;Ameliorated;Grocery;14284;Beauty Salad;2021-11-15T19:49:49;2021-11-16T02:30:30
9;quantifying;Avon;81562;overriding;2021-11-16T07:53:59;2021-11-16T01:19:08
10;Strategist;Bacon;97646;Administrator Sausages;2021-11-15T22:48:09;2021-11-16T04:10:48
