id;tag_title;tag_desc;tag_created_by_id;tag_created_by_name;tag_created_date;tag_modified_date;proj_id
1;Branding back-end circuit;project Diverse Car;53032;Afghanistan;2021-10-11T19:35:46;2021-10-12T11:18:57;89327
2;Dynamic Games;Incredible;60214;regional Barbados Product;2021-10-12T09:48:09;2021-10-11T23:39:47;81126
3;strategize bluetooth;Wyoming;58788;Human copying;2021-10-12T00:12:56;2021-10-12T04:14:48;72617
4;Mali Group grey;Principal Frozen Hawaii;75234;solutions orchestrate transmitting;2021-10-11T20:50:28;2021-10-12T11:55:34;17617
5;bypass;Unbranded Security Associate;53996;Technician generate;2021-10-11T19:01:20;2021-10-12T02:54:26;20992
6;Track Movies;compress Sports;93082;AGP recontextualize bypassing;2021-10-12T00:17:38;2021-10-11T21:53:03;49471
7;Directives;Cambridgeshire Djibouti transmitter;34361;USB Plains 24/7;2021-10-12T13:21:50;2021-10-12T05:05:54;98579
8;Enhanced bypass;Marketing Beauty;15918;Fresh Fresh Movies;2021-10-12T12:50:38;2021-10-12T06:38:36;81562
9;overriding;Account;99327;Rustic Industrial Administrator;2021-10-12T15:01:39;2021-10-12T01:15:32;17844
10;International actuating invoice;Rustic;8301;Crest Tennessee Greenland;2021-10-12T03:09:13;2021-10-11T18:32:15;77315
